coding_problem_id,llm_answer_id,candidate_word_count,ai_word_count,shared_tokens,candidate_seq,ai_generated_seq
source_code_001,4_00,25,69,7,"[36, 302, 226, 411, 36, 946, 947, 36, 302, 126, 36, 275, 36, 946, 947, 5, 160, 36, 302, 36, 275, 3, 36, 275, 5]","[79, 41, 83, 79, 125, 113, 83, 15, 269, 15, 36, 226, 411, 138, 122, 142, 819, 36, 18, 13, 275, 114, 21, 9, 15, 125, 15, 819, 15, 36, 126, 2, 17, 15, 227, 114, 15, 114, 36, 126, 447, 27, 15, 27, 709, 123, 75, 14, 19, 7, 114, 24, 5, 7, 3, 7, 27, 27, 7, 114, 24, 5, 114, 7, 4, 2, 27, 4, 27]"
source_code_001,4_01,25,71,7,"[36, 302, 226, 411, 36, 946, 947, 36, 302, 126, 36, 275, 36, 946, 947, 5, 160, 36, 302, 36, 275, 3, 36, 275, 5]","[79, 41, 83, 79, 125, 113, 83, 15, 269, 138, 122, 142, 819, 226, 411, 18, 13, 275, 114, 79, 125, 15, 819, 15, 36, 126, 17, 15, 1322, 183, 660, 15, 114, 36, 126, 15, 687, 275, 123, 1770, 1083, 14, 19, 7, 114, 24, 5, 7, 3, 7, 365, 123, 75, 13, 2, 15, 687, 114, 7, 258, 2, 2599, 660, 20, 4, 2, 346, 15, 4, 687, 851]"
source_code_002,3.5-turbo_00,59,52,13,"[899, 161, 28, 1408, 154, 68, 4, 34, 53, 5, 34, 18, 1323, 84, 8, 54, 84, 554, 54, 322, 54, 322, 54, 322, 3, 54, 322, 4, 54, 8, 448, 213, 778, 54, 177, 33, 8, 45, 309, 33, 8, 948, 54, 33, 16, 3, 6, 948, 448, 146, 45, 6, 448, 24, 16, 4, 448, 4, 448]","[18, 2219, 84, 26, 1409, 84, 177, 71, 6, 1409, 71, 900, 1409, 71, 5, 57, 1409, 71, 8, 1410, 14, 26, 33, 23, 1409, 6, 1409, 33, 16, 3, 1410, 146, 309, 33, 4, 1410, 8, 84, 5, 16, 12, 16, 5, 12, 34, 85, 42, 2219, 84, 29, 5, 34]"
source_code_002,3.5-turbo_01,59,62,13,"[899, 161, 28, 1408, 154, 68, 4, 34, 53, 5, 34, 18, 1323, 84, 8, 54, 84, 554, 54, 322, 54, 322, 54, 322, 3, 54, 322, 4, 54, 8, 448, 213, 778, 54, 177, 33, 8, 45, 309, 33, 8, 948, 54, 33, 16, 3, 6, 948, 448, 146, 45, 6, 448, 24, 16, 4, 448, 4, 448]","[18, 2018, 84, 8, 466, 84, 177, 71, 6, 466, 71, 900, 466, 71, 5, 57, 466, 71, 8, 1410, 14, 26, 71, 23, 466, 6, 466, 71, 16, 3, 1410, 146, 309, 71, 4, 1410, 155, 2, 18, 50, 2, 253, 161, 8, 2220, 5, 16, 12, 16, 5, 12, 34, 8, 27, 2018, 2220, 85, 42, 27, 29, 5, 34]"
source_code_002,4-turbo_00,59,78,8,"[899, 161, 28, 1408, 154, 68, 4, 34, 53, 5, 34, 18, 1323, 84, 8, 54, 84, 554, 54, 322, 54, 322, 54, 322, 3, 54, 322, 4, 54, 8, 448, 213, 778, 54, 177, 33, 8, 45, 309, 33, 8, 948, 54, 33, 16, 3, 6, 948, 448, 146, 45, 6, 448, 24, 16, 4, 448, 4, 448]","[18, 2600, 84, 26, 901, 3, 1243, 5, 901, 103, 321, 27, 28, 901, 21, 483, 661, 2019, 321, 14, 26, 71, 21, 84, 901, 71, 1243, 16, 241, 9, 180, 1196, 23, 2, 27, 512, 291, 92, 401, 1123, 364, 26, 2221, 901, 901, 26, 1411, 3, 1412, 3, 1243, 12, 2222, 103, 121, 227, 483, 2223, 20, 901, 2601, 14, 26, 71, 21, 84, 6, 71, 2221, 3, 1411, 71, 57, 1412, 71, 4, 1411, 1412]"
source_code_002,4-turbo_01,59,92,10,"[899, 161, 28, 1408, 154, 68, 4, 34, 53, 5, 34, 18, 1323, 84, 8, 54, 84, 554, 54, 322, 54, 322, 54, 322, 3, 54, 322, 4, 54, 8, 448, 213, 778, 54, 177, 33, 8, 45, 309, 33, 8, 948, 54, 33, 16, 3, 6, 948, 448, 146, 45, 6, 448, 24, 16, 4, 448, 4, 448]","[18, 2224, 84, 26, 1771, 3, 1243, 5, 901, 21, 103, 321, 2602, 2603, 901, 21, 483, 661, 2019, 321, 14, 26, 71, 21, 84, 1771, 71, 1243, 16, 77, 2, 1855, 180, 1196, 23, 2, 1771, 26, 2225, 1771, 1771, 26, 1411, 3, 1412, 3, 1243, 12, 2222, 321, 227, 483, 2223, 20, 901, 14, 26, 71, 21, 84, 6, 71, 2225, 3, 1411, 71, 57, 1412, 71, 4, 2, 483, 661, 2019, 121, 4, 1411, 1412, 161, 292, 2224, 5, 16, 12, 16, 5, 12, 34, 68, 4, 5, 34]"
source_code_002,4_00,59,114,10,"[899, 161, 28, 1408, 154, 68, 4, 34, 53, 5, 34, 18, 1323, 84, 8, 54, 84, 554, 54, 322, 54, 322, 54, 322, 3, 54, 322, 4, 54, 8, 448, 213, 778, 54, 177, 33, 8, 45, 309, 33, 8, 948, 54, 33, 16, 3, 6, 948, 448, 146, 45, 6, 448, 24, 16, 4, 448, 4, 448]","[18, 1323, 84, 26, 293, 26, 1772, 3, 901, 21, 103, 321, 14, 26, 7, 3, 7, 84, 24, 7, 1772, 1772, 84, 7, 1855, 180, 1196, 26, 180, 1196, 200, 1772, 1772, 5, 26, 760, 3, 820, 3, 2604, 321, 23, 483, 2605, 5, 2, 321, 1773, 2, 1413, 1196, 99, 5, 16, 2, 321, 1773, 2, 1413, 1196, 3, 14, 26, 7, 3, 7, 84, 24, 7, 6, 84, 7, 180, 1196, 200, 3, 760, 760, 84, 7, 901, 21, 321, 1773, 180, 99, 1855, 1196, 57, 820, 820, 84, 7, 901, 21, 321, 1773, 2606, 99, 1855, 1196, 146, 321, 13, 259, 31, 293, 146, 760, 293, 146, 820, 4, 293]"
source_code_002,4_01,59,116,14,"[899, 161, 28, 1408, 154, 68, 4, 34, 53, 5, 34, 18, 1323, 84, 8, 54, 84, 554, 54, 322, 54, 322, 54, 322, 3, 54, 322, 4, 54, 8, 448, 213, 778, 54, 177, 33, 8, 45, 309, 33, 8, 948, 54, 33, 16, 3, 6, 948, 448, 146, 45, 6, 448, 24, 16, 4, 448, 4, 448]","[18, 2018, 84, 131, 67, 213, 13, 513, 466, 170, 466, 343, 205, 123, 289, 23, 2, 31, 14, 170, 7, 3, 7, 84, 24, 7, 175, 6, 2, 289, 28, 1124, 23, 2, 213, 1856, 2, 94, 6, 154, 688, 6, 53, 180, 2, 94, 13, 5, 6, 466, 84, 7, 466, 84, 7, 57, 466, 84, 7, 5, 447, 67, 290, 31, 13, 513, 321, 50, 661, 466, 170, 27, 343, 205, 2, 466, 213, 14, 170, 1857, 23, 466, 175, 6, 2, 94, 21, 123, 289, 28, 661, 6, 553, 661, 146, 2, 1324, 47, 227, 27, 31, 6, 466, 1857, 16, 3, 27, 146, 309, 1857, 4, 2, 27, 31, 4, 27]"
source_code_003,3.5-turbo_00,229,192,28,"[209, 710, 162, 949, 110, 8, 19, 89, 65, 8, 19, 165, 65, 334, 1414, 19, 402, 165, 19, 437, 70, 5, 16, 12, 55, 34, 80, 120, 73, 65, 19, 214, 70, 19, 375, 109, 199, 711, 270, 229, 103, 89, 14, 19, 7, 3, 7, 89, 7, 214, 70, 3, 77, 555, 90, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 165, 25, 214, 70, 402, 7, 25, 6, 214, 70, 437, 70, 375, 64, 327, 630, 711, 270, 229, 103, 165, 14, 19, 7, 3, 7, 165, 7, 214, 70, 3, 77, 555, 165, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 89, 25, 214, 70, 402, 25, 7, 6, 214, 70, 437, 70, 375, 64, 327, 902, 711, 123, 1415, 903, 821, 13, 92, 853, 5, 65, 14, 19, 7, 3, 7, 89, 7, 12, 14, 19, 438, 7, 438, 7, 12, 438, 14, 19, 25, 3, 25, 165, 25, 6, 7, 12, 3, 25, 12, 3, 6, 214, 70, 437, 70, 375, 64, 327, 1197, 214, 70, 3, 214, 70, 402, 438, 25, 6, 214, 70, 437, 70, 375, 64, 327, 4, 375, 19, 83, 19, 402, 89, 165, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65]","[209, 710, 209, 217, 162, 949, 110, 334, 1125, 217, 217, 19, 712, 217, 217, 334, 90, 65, 217, 334, 65, 64, 217, 217, 334, 607, 65, 217, 334, 65, 64, 217, 217, 334, 1774, 65, 217, 334, 65, 64, 14, 19, 7, 3, 7, 65, 7, 14, 19, 25, 3, 25, 65, 25, 6, 712, 7, 25, 3, 1126, 19, 71, 712, 7, 25, 5, 19, 438, 7, 12, 12, 25, 12, 6, 90, 7, 71, 607, 25, 71, 1774, 438, 71, 4, 64, 90, 7, 71, 109, 607, 25, 71, 109, 1774, 438, 71, 109, 4, 109, 19, 83, 217, 217, 19, 903, 34, 12, 55, 80, 120, 73, 65, 5, 16, 80, 120, 16, 5, 65, 34, 12, 55, 73, 5, 65, 73, 12, 55, 16, 34, 80, 120, 73, 34, 65, 120, 80, 5, 55, 16, 12, 55, 16, 80, 73, 34, 12, 120, 65, 5, 120, 5, 12, 65, 16, 55, 73, 34, 80, 65, 80, 5, 34, 12, 120, 16, 73, 55, 16, 73, 120, 55, 5, 65, 80, 12, 34, 12, 55, 34, 16, 73, 80, 5, 120, 65, 449, 1125, 903, 713, 4, 3]"
source_code_003,3.5-turbo_01,229,200,25,"[209, 710, 162, 949, 110, 8, 19, 89, 65, 8, 19, 165, 65, 334, 1414, 19, 402, 165, 19, 437, 70, 5, 16, 12, 55, 34, 80, 120, 73, 65, 19, 214, 70, 19, 375, 109, 199, 711, 270, 229, 103, 89, 14, 19, 7, 3, 7, 89, 7, 214, 70, 3, 77, 555, 90, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 165, 25, 214, 70, 402, 7, 25, 6, 214, 70, 437, 70, 375, 64, 327, 630, 711, 270, 229, 103, 165, 14, 19, 7, 3, 7, 165, 7, 214, 70, 3, 77, 555, 165, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 89, 25, 214, 70, 402, 25, 7, 6, 214, 70, 437, 70, 375, 64, 327, 902, 711, 123, 1415, 903, 821, 13, 92, 853, 5, 65, 14, 19, 7, 3, 7, 89, 7, 12, 14, 19, 438, 7, 438, 7, 12, 438, 14, 19, 25, 3, 25, 165, 25, 6, 7, 12, 3, 25, 12, 3, 6, 214, 70, 437, 70, 375, 64, 327, 1197, 214, 70, 3, 214, 70, 402, 438, 25, 6, 214, 70, 437, 70, 375, 64, 327, 4, 375, 19, 83, 19, 402, 89, 165, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65]","[209, 217, 209, 1416, 180, 334, 1125, 110, 217, 110, 217, 19, 712, 14, 19, 7, 3, 7, 65, 7, 110, 1416, 180, 19, 2226, 110, 1416, 180, 19, 2227, 110, 1416, 180, 19, 2228, 14, 19, 25, 3, 25, 65, 25, 175, 89, 6, 712, 7, 25, 3, 2226, 323, 712, 7, 25, 630, 4, 64, 175, 165, 6, 712, 25, 7, 3, 2227, 323, 712, 25, 7, 630, 4, 64, 175, 2607, 19, 2020, 12, 7, 12, 25, 12, 19, 2021, 12, 7, 12, 25, 12, 6, 712, 2020, 2021, 3, 2228, 323, 712, 2020, 2021, 630, 4, 64, 4, 109, 161, 292, 19, 83, 110, 217, 110, 217, 19, 712, 34, 12, 55, 80, 120, 73, 65, 5, 16, 80, 120, 16, 5, 65, 34, 12, 55, 73, 5, 65, 73, 12, 55, 16, 34, 80, 120, 73, 34, 65, 120, 80, 5, 55, 16, 12, 55, 16, 80, 73, 34, 12, 120, 65, 5, 120, 5, 12, 65, 16, 55, 73, 34, 80, 65, 80, 5, 34, 12, 120, 16, 73, 55, 16, 73, 120, 55, 5, 65, 80, 12, 34, 12, 55, 34, 16, 73, 80, 5, 120, 65, 334, 1084, 1125, 712, 4, 3]"
source_code_003,4-turbo_00,229,101,23,"[209, 710, 162, 949, 110, 8, 19, 89, 65, 8, 19, 165, 65, 334, 1414, 19, 402, 165, 19, 437, 70, 5, 16, 12, 55, 34, 80, 120, 73, 65, 19, 214, 70, 19, 375, 109, 199, 711, 270, 229, 103, 89, 14, 19, 7, 3, 7, 89, 7, 214, 70, 3, 77, 555, 90, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 165, 25, 214, 70, 402, 7, 25, 6, 214, 70, 437, 70, 375, 64, 327, 630, 711, 270, 229, 103, 165, 14, 19, 7, 3, 7, 165, 7, 214, 70, 3, 77, 555, 165, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 89, 25, 214, 70, 402, 25, 7, 6, 214, 70, 437, 70, 375, 64, 327, 902, 711, 123, 1415, 903, 821, 13, 92, 853, 5, 65, 14, 19, 7, 3, 7, 89, 7, 12, 14, 19, 438, 7, 438, 7, 12, 438, 14, 19, 25, 3, 25, 165, 25, 6, 7, 12, 3, 25, 12, 3, 6, 214, 70, 437, 70, 375, 64, 327, 1197, 214, 70, 3, 214, 70, 402, 438, 25, 6, 214, 70, 437, 70, 375, 64, 327, 4, 375, 19, 83, 19, 402, 89, 165, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65]","[209, 217, 334, 1125, 8, 110, 217, 110, 217, 19, 712, 162, 606, 14, 90, 178, 20, 1775, 402, 1858, 19, 90, 65, 65, 3, 607, 65, 65, 3, 1775, 12, 12, 65, 3, 14, 19, 7, 3, 7, 65, 7, 14, 19, 25, 3, 25, 65, 25, 19, 71, 712, 7, 25, 5, 2608, 45, 13, 92, 423, 2609, 19, 438, 7, 12, 12, 25, 12, 2214, 1774, 63, 175, 6, 43, 71, 347, 1124, 779, 484, 23, 2, 90, 178, 148, 1774, 6, 90, 7, 71, 607, 25, 71, 1775, 7, 12, 25, 12, 71, 4, 64, 4, 109]"
source_code_003,4-turbo_01,229,339,27,"[209, 710, 162, 949, 110, 8, 19, 89, 65, 8, 19, 165, 65, 334, 1414, 19, 402, 165, 19, 437, 70, 5, 16, 12, 55, 34, 80, 120, 73, 65, 19, 214, 70, 19, 375, 109, 199, 711, 270, 229, 103, 89, 14, 19, 7, 3, 7, 89, 7, 214, 70, 3, 77, 555, 90, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 165, 25, 214, 70, 402, 7, 25, 6, 214, 70, 437, 70, 375, 64, 327, 630, 711, 270, 229, 103, 165, 14, 19, 7, 3, 7, 165, 7, 214, 70, 3, 77, 555, 165, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 89, 25, 214, 70, 402, 25, 7, 6, 214, 70, 437, 70, 375, 64, 327, 902, 711, 123, 1415, 903, 821, 13, 92, 853, 5, 65, 14, 19, 7, 3, 7, 89, 7, 12, 14, 19, 438, 7, 438, 7, 12, 438, 14, 19, 25, 3, 25, 165, 25, 6, 7, 12, 3, 25, 12, 3, 6, 214, 70, 437, 70, 375, 64, 327, 1197, 214, 70, 3, 214, 70, 402, 438, 25, 6, 214, 70, 437, 70, 375, 64, 327, 4, 375, 19, 83, 19, 402, 89, 165, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65]","[209, 710, 209, 217, 334, 1125, 8, 110, 217, 110, 217, 19, 712, 66, 12, 606, 13, 631, 90, 178, 20, 1775, 689, 2610, 21, 121, 19, 2022, 65, 65, 3, 2023, 65, 65, 3, 2024, 65, 65, 3, 14, 19, 90, 3, 90, 65, 90, 14, 19, 607, 3, 607, 65, 607, 19, 71, 712, 90, 607, 5, 2611, 5, 65, 63, 13, 3, 73, 19, 2025, 90, 12, 12, 607, 12, 780, 689, 63, 175, 6, 45, 1124, 484, 23, 90, 178, 148, 689, 6, 2022, 90, 71, 2023, 607, 71, 2024, 2025, 71, 4, 64, 2026, 45, 99, 484, 23, 90, 178, 20, 689, 2022, 90, 71, 5, 2023, 607, 71, 5, 2024, 2025, 71, 5, 4, 109, 19, 83, 161, 21, 822, 903, 110, 217, 110, 217, 19, 2229, 34, 12, 55, 80, 120, 73, 65, 5, 16, 80, 120, 16, 5, 65, 34, 12, 55, 73, 5, 65, 73, 12, 55, 16, 34, 80, 120, 73, 34, 65, 120, 80, 5, 55, 16, 12, 55, 16, 80, 73, 34, 12, 120, 65, 5, 120, 5, 12, 65, 16, 55, 73, 34, 80, 65, 80, 5, 34, 12, 120, 16, 73, 55, 16, 73, 120, 55, 5, 65, 80, 12, 34, 12, 55, 34, 16, 73, 80, 5, 120, 65, 161, 21, 823, 903, 286, 483, 121, 23, 2, 286, 90, 192, 1127, 5, 110, 217, 110, 217, 19, 2230, 34, 12, 55, 80, 120, 73, 65, 5, 16, 80, 120, 16, 5, 65, 34, 12, 55, 73, 5, 65, 73, 12, 55, 16, 34, 80, 120, 73, 34, 65, 120, 80, 5, 55, 16, 12, 55, 16, 80, 73, 34, 12, 120, 65, 5, 120, 5, 12, 65, 16, 55, 73, 34, 80, 65, 80, 5, 34, 12, 120, 16, 73, 55, 16, 73, 120, 55, 5, 65, 80, 12, 34, 12, 55, 34, 16, 73, 80, 5, 120, 5, 110, 449, 822, 903, 1125, 2229, 110, 713, 29, 5, 109, 110, 449, 823, 903, 1125, 2230, 110, 713, 29, 3, 64, 4, 3]"
source_code_003,4_00,229,105,19,"[209, 710, 162, 949, 110, 8, 19, 89, 65, 8, 19, 165, 65, 334, 1414, 19, 402, 165, 19, 437, 70, 5, 16, 12, 55, 34, 80, 120, 73, 65, 19, 214, 70, 19, 375, 109, 199, 711, 270, 229, 103, 89, 14, 19, 7, 3, 7, 89, 7, 214, 70, 3, 77, 555, 90, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 165, 25, 214, 70, 402, 7, 25, 6, 214, 70, 437, 70, 375, 64, 327, 630, 711, 270, 229, 103, 165, 14, 19, 7, 3, 7, 165, 7, 214, 70, 3, 77, 555, 165, 20, 270, 229, 103, 121, 852, 154, 14, 19, 25, 3, 25, 89, 25, 214, 70, 402, 25, 7, 6, 214, 70, 437, 70, 375, 64, 327, 902, 711, 123, 1415, 903, 821, 13, 92, 853, 5, 65, 14, 19, 7, 3, 7, 89, 7, 12, 14, 19, 438, 7, 438, 7, 12, 438, 14, 19, 25, 3, 25, 165, 25, 6, 7, 12, 3, 25, 12, 3, 6, 214, 70, 437, 70, 375, 64, 327, 1197, 214, 70, 3, 214, 70, 402, 438, 25, 6, 214, 70, 437, 70, 375, 64, 327, 4, 375, 19, 83, 19, 402, 89, 165, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65, 5, 16, 12, 55, 34, 80, 120, 73, 65]","[209, 217, 209, 710, 334, 1125, 110, 217, 110, 217, 19, 712, 447, 89, 165, 20, 1325, 19, 89, 65, 65, 3, 165, 65, 65, 3, 1325, 12, 12, 65, 3, 14, 19, 90, 3, 90, 65, 90, 14, 19, 607, 3, 607, 65, 607, 19, 71, 712, 90, 607, 5, 2612, 5, 13, 950, 423, 2613, 6, 89, 90, 71, 165, 607, 71, 1325, 90, 12, 607, 12, 71, 4, 64, 4, 64, 6, 9, 2231, 28, 485, 57, 2026, 99, 2614, 89, 90, 71, 165, 607, 71, 1325, 90, 12, 607, 12, 71, 5, 4, 109, 4, 109, 6, 200, 2231, 781, 485]"
